date,type,value
15/09/2022,D,2362400
07/07/2023,D,7242200
04/10/2023,D,3226000
20/10/2023,W,80000
23/10/2023,D,4301300
31/10/2023,D,3801300
18/03/2024,W,60000
02/04/2024,W,9800000
21/05/2024,W,150000
07/06/2024,D,2235700
28/06/2024,W,100000
06/08/2024,W,6180000
12/08/2024,D,2105000
05/09/2024,D,2525000
19/09/2024,D,2300000
24/03/2025,W,2766500
04/04/2025,D,2415000
09/04/2025,D,8935000
11/07/2025,W,2863214
14/07/2025,D,4048
18/07/2025,W,14421163
24/07/2025,W,190000
12/08/2025,W,5621629
19/09/2025,D,13093500
26/09/2025,W,6515767
26/09/2025,D,17000082
29/09/2025,W,2851289
30/09/2025,W,15439902
01/10/2025,W,95000
15/12/2025,D,20000
22/01/2026,W,17165600
26/01/2026,D,8446783
24/02/2026,D,11558540
02/03/2026,W,10866200
27/03/2026,D,8000000
11/05/2026,W,190000
19/05/2026,W,66500
28/05/2026,W,380000
03/06/2026,D,3704349
10/06/2026,D,446500
06/07/2026,D,6294718
08/07/2026,D,25604565
09/07/2026,D,19626600
23/07/2026,D,10000000
27/07/2026,D,5000000
