date,symbol,action,quantity,note
15/09/2022,HPG,BUY,100,
07/07/2023,PNJ,BUY,100,
04/10/2023,TCB,BUY,100,
23/10/2023,MWG,BUY,100,
31/10/2023,MWG,BUY,100,
02/04/2024,PNJ,SELL,100,
23/05/2024,HPG,BUY,10,
07/06/2024,MBB,BUY,100,
20/06/2024,TCB,BUY,100,
06/08/2024,MWG,SELL,100,
12/08/2024,TCB,BUY,100,
05/09/2024,HPG,BUY,100,
19/09/2024,TCB,BUY,100,
07/01/2025,MBB,BUY,15,
24/03/2025,MBB,SELL,115,
04/04/2025,HPG,BUY,100,
09/04/2025,HPG,BUY,100,
09/04/2025,TCB,BUY,100,
09/04/2025,MWG,BUY,100,
13/06/2025,HPG,BUY,82,
07/07/2025,HPG,BUY,100,
07/07/2025,MARGIN,SET,2345000,
11/07/2025,HPG,SELL,200,
11/07/2025,MARGIN,SET,0,
18/07/2025,TCB,SELL,400,
12/08/2025,HPG,SELL,200,
19/09/2025,FRT,BUY,100,
26/09/2025,HPG,BUY,108,
26/09/2025,MWG,BUY,200,
26/09/2025,MARGIN,SET,8391768,
29/09/2025,HPG,SELL,100,
30/09/2025,MWG,SELL,200,
30/09/2025,MARGIN,SET,8291768,
14/10/2025,HPG,BUY,200,
14/10/2025,MARGIN,SET,14081631,
15/12/2025,FPT,BUY,100,
15/12/2025,MARGIN,SET,23446444,
22/01/2026,MWG,SELL,200,
22/01/2026,MARGIN,SET,23446783,
26/01/2026,MARGIN,SET,15000000,
24/02/2026,FPT,BUY,200,
24/02/2026,MARGIN,SET,22000000,
02/03/2026,FRT,SELL,100,
02/03/2026,MARGIN,SET,16000000,
27/03/2026,MARGIN,SET,8000000,
11/05/2026,FPT,BUY,100,
11/05/2026,MARGIN,SET,15007665,
25/05/2026,HPG,BUY,40,
03/06/2026,PNJ,BUY,100,
03/06/2026,MARGIN,SET,17810000,
10/06/2026,MARGIN,SET,17363606,
06/07/2026,PNJ,BUY,200,
06/07/2026,MARGIN,SET,22000000,
08/07/2026,PNJ,BUY,800,
08/07/2026,MARGIN,SET,36000000,
09/07/2026,PNJ,BUY,500,
09/07/2026,MARGIN,SET,43000000,
23/07/2026,MARGIN,SET,33000000,
27/07/2026,MARGIN,SET,28000000,
