date,HPG,TCB,FPT,PNJ,FRT,MWG,MBB,VNINDEX,W,D,E1,E0,DR,DR(VNI),CR,Sharpe,MaxDrawdown,YR
14/08/2026,21250.0,32000.0,68300.0,36500.0,142900.0,72400.0,20000.0,1729.08,0.0,0.0,70270000.0,68878000.0,0.02020964604082581,-0.020700826333943212,0.49322325136506207,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
13/08/2026,21700.0,31700.0,69200.0,35300.0,146900.0,73600.0,20150.0,1765.63,0.0,0.0,68878000.0,69274000.0,-0.005716430406790427,-0.015363767162248076,0.46364353362064525,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
12/08/2026,22100.0,31500.0,70800.0,35050.0,148000.0,74000.0,20450.0,1793.18,0.0,0.0,69274000.0,69042000.0,0.0033602734567364794,0.011148014277578167,0.47205845332379814,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
11/08/2026,22050.0,31000.0,71200.0,34850.0,146500.0,73200.0,20500.0,1773.41,0.0,0.0,69042000.0,71099000.0,-0.028931489894372636,-0.0018910720014407856,0.4671285003663954,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
10/08/2026,22100.0,31350.0,71800.0,35950.0,137000.0,73000.0,20200.0000000833,1776.77,0.0,0.0,71099000.0,70570000.0,0.007496103159982995,0.004926303405992982,0.510839333268885,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
07/08/2026,22000.0,29700.0,70800.0,36000.0,132000.0,71000.0,24150.0,1768.06,0.0,0.0,70570000.0,71134000.0,-0.007928697950347232,0.0018585886059452328,0.49959819053411736,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
06/08/2026,21850.0,29200.0,70700.0,36450.0,132100.0,71200.0,23900.0,1764.78,0.0,0.0,71134000.0,73405000.0,-0.030937947006334718,-0.006574873625074584,0.5115830761719413,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
05/08/2026,22000.0,29650.0,70300.0,37900.0,135000.0,72200.0,24300.0,1776.46,0.0,0.0,73405000.0,70031000.0,0.0481786637346318,-0.00043325849777464676,0.5598413656816901,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
04/08/2026,22150.0,29650.0,71500.0,35450.0,133100.0,72100.0,24400.0,1777.23,0.0,0.0,70031000.0,66637000.0,0.050932665035940995,0.008162964307594667,0.4881445498270478,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
03/08/2026,22550.0,29950.0,71700.0,33150.0,133100.0,72500.0,24000.0,1762.84,0.0,0.0,66637000.0,60883000.0,0.09450914048256492,0.015589533235778719,0.4160227380278019,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
31/07/2026,21700.0,28950.0,67100.0,31000.0,124400.0,69900.0,22500.0,1735.78,0.0,0.0,60883000.0,63322000.0,-0.03851741890654117,-0.005089816927080437,0.29375140476532047,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
30/07/2026,21800.0,29300.0,67000.0,32500.0,116300.0,69800.0,22500.0,1744.66,0.0,0.0,63322000.0,62806000.0,0.008215775562844314,0.023453082103386036,0.3455796602097403,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
29/07/2026,21650.0,28400.0,65100.0,32750.0,108700.0,66500.0,22100.0,1704.68,0.0,0.0,62806000.0,61530000.0,0.020737851454575004,0.014316145232116773,0.33461476483896524,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
28/07/2026,21000.0,28500.0,63000.0,32650.0,107700.0,65200.0,22150.0,1680.62,0.0,0.0,61530000.0,61299000.0,0.0037684138403562863,0.006956219555305232,0.3075000235732497,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
27/07/2026,20350.0,28250.0,62200.0,32900.0,107800.0,63300.0,21650.0,1669.01,0.0,5000000.0,61299000.0,53372000.0,0.050143904611800176,-0.010141687078541683,0.30259132041307724,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
24/07/2026,20800.0,28600.0,62900.0,30750.0,107800.0,68000.0,21900.0,1686.11,0.0,0.0,53372000.0,57837000.0,-0.07719971644449056,-0.007808730242794604,0.2403931639203274,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
23/07/2026,20800.0,29250.0,64700.0,33050.0,109000.0,71500.0,22050.0,1699.38,0.0,10000000.0,57837000.0,51648000.0,-0.06181871269140929,0.01848932893025612,0.34416209663606345,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
22/07/2026,20700.0,29000.0,64600.0,35500.0,105000.0,70600.0,22350.0,1668.53,0.0,0.0,51648000.0,56092000.0,-0.07922698424017685,-0.03584388868343191,0.43273172767294366,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
21/07/2026,20800.0,29800.0,64800.0,38150.0,110900.0,75900.0,22700.0,1730.56,0.0,0.0,56092000.0,61499000.0,-0.08792012878258183,-0.007427545583334805,0.5560096822457936,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
20/07/2026,20600.0,29950.0,67100.0,41000.0,109900.0,75200.0,22800.0,1743.51,0.0,0.0,61499000.0,65359000.0,-0.059058431126547226,-0.024582505804358168,0.7060015590179358,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
17/07/2026,21850.0,31450.0,67000.0,43000.0,111800.0,76700.0,23750.0,1787.45,0.0,0.0,65359000.0,62598000.0,0.04410684047413655,-0.009305857313882782,0.8130791703255869,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
16/07/2026,22200.0,31900.0,68000.0,40900.0,111400.0,76700.0,24150.0,1804.24,0.0,0.0,62598000.0,66566000.0,-0.05961001111678635,0.01241218324243043,0.7364881638954253,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
15/07/2026,22400.0,31500.0,66800.0,43650.0,113000.0,76200.0,23950.0,1782.12,0.0,0.0,66566000.0,73280000.0,-0.09162117903930131,-0.01356669600305549,0.8465617290945857,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
14/07/2026,22500.0,32200.0,70300.0,46900.0,113600.0,76800.0,24550.0,1806.63,0.0,0.0,73280000.0,68451000.0,0.07054681450964924,0.0033823186377421877,1.032810196016754,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
