date,HPG,TCB,FPT,PNJ,FRT,MWG,MBB,VNINDEX
15/09/2022,23600.0,36600.0,0.0,81166.61242963339,0.0,73197.52851585783,0.0,1245.66
16/09/2022,23000.0,36000.0,0.0,81621.30378840794,0.0,71315.58935239194,0.0,1234.03
19/09/2022,22650.0,35050.0,0.0,80756.06028535061,0.0,69829.84790755044,0.0,1205.43
20/09/2022,23000.0,35050.0,0.0,81477.09653789838,0.0,71018.44106342364,0.0,1218.93
21/09/2022,22900.0,34500.0,0.0,82126.02916519137,0.0,69334.60075926995,0.0,1210.55
22/09/2022,23000.0,34550.0,0.0,82198.13279044615,0.0,69433.65018892604,0.0,1214.7
23/09/2022,22700.0,34200.0,0.0,82126.02916519137,0.0,68740.30418133334,0.0,1203.28
26/09/2022,22400.0,33250.0,0.0,80107.12765805761,0.0,67353.61216614794,0.0,1174.35
27/09/2022,22400.0,33500.0,0.0,80107.12765805761,0.0,66462.16729924304,0.0,1166.54
28/09/2022,21800.0,33250.0,0.0,80035.02403280283,0.0,64382.12927646495,0.0,1143.62
29/09/2022,21650.0,33000.0,0.0,80035.02403280283,0.0,63391.63497990395,0.0,1126.07
30/09/2022,21200.0,32500.0,0.0,77150.87902261174,0.0,63391.63497990395,0.0,1132.11
03/10/2022,19750.0,30250.0,0.0,71815.21075375822,0.0,59033.46007503555,0.0,1086.44
04/10/2022,18850.0,30300.0,0.0,71022.07087595567,0.0,60420.15209022095,0.0,1078.14
05/10/2022,19200.0,30500.0,0.0,73834.11226089198,0.0,61608.74524609415,0.0,1104.26
06/10/2022,18000.0,29300.0,0.0,74122.5267619111,0.0,57448.66920053795,0.0,1074.52
07/10/2022,17600.0,27250.0,0.0,74266.73401242065,0.0,53486.69201429396,0.0,1035.91
10/10/2022,18350.0,25800.0,0.0,75708.80651751619,0.0,56557.22433363305,0.0,1042.48
11/10/2022,17500.0,24000.0,0.0,75420.39201649708,0.0,54873.38402947936,0.0,1006.2
12/10/2022,18700.0,24800.0,0.0,75708.80651751619,0.0,56953.42205225745,0.0,1034.81
13/10/2022,19500.0,25300.0,0.0,75348.28839124231,0.0,57052.47148191356,0.0,1050.99
14/10/2022,19450.0,25700.0,0.0,75780.91014277097,0.0,59330.60836400385,0.0,1061.85
17/10/2022,19250.0,25100.0,0.0,75708.80651751619,0.0,58340.11406744285,0.0,1051.58
18/10/2022,18850.0,25300.0,0.0,76429.84277006397,0.0,58439.16349709895,0.0,1063.66
19/10/2022,18400.0,25200.0,0.0,77511.39714888563,0.0,58439.16349709895,0.0,1060.07
20/10/2022,18100.0,24600.0,0.0,77583.5007741404,0.0,57844.86691916235,0.0,1058.45
21/10/2022,16900.0,22900.0,0.0,75492.49564175186,0.0,53882.88973291835,0.0,1019.82
24/10/2022,16400.0,21300.0,0.0,73185.179633599,0.0,50119.01140598656,0.0,986.15
25/10/2022,17100.0,21300.0,0.0,73257.28325885377,0.0,51505.70342117196,0.0,997.7
26/10/2022,16900.0,21400.0,0.0,74555.14851343975,0.0,51406.65399151586,0.0,993.36
27/10/2022,17400.0,22850.0,0.0,74699.35576394931,0.0,52793.34600670126,0.0,1028.01
28/10/2022,16800.0,24400.0,0.0,75353.33845304255,0.0,52694.29657704516,0.0,1027.36
31/10/2022,15650.0,24600.0,0.0,75062.67948118897,0.0,51109.50570254755,0.0,1027.94
01/11/2022,15000.0,25650.0,0.0,73827.37885081122,0.0,49623.76425770606,0.0,1033.75
02/11/2022,15350.0,25200.0,0.0,73464.05513599423,0.0,47543.72623492796,0.0,1023.19
03/11/2022,15200.0,25850.0,0.0,74118.0378226648,0.0,49029.46767976946,0.0,1019.81
04/11/2022,14650.0,25500.0,0.0,68958.84107226363,0.0,45612.26235663401,0.0,997.15
07/11/2022,13700.0,23750.0,0.0,69394.82953004401,0.0,42442.68060763882,0.0,975.19
08/11/2022,13150.0,24150.0,0.0,70412.13593153156,0.0,44176.04562662057,0.0,981.65
09/11/2022,13000.0,24350.0,0.0,70702.79490338515,0.0,45067.49049352546,0.0,985.59
10/11/2022,12100.0,22750.0,0.0,70484.80067449497,0.0,41947.43345935831,0.0,947.24
11/11/2022,12300.0,22800.0,0.0,70630.13016042176,0.0,42591.25475212296,0.0,954.53
14/11/2022,12200.0,22200.0,0.0,70194.14170264137,0.0,40263.59315520462,0.0,941.04
15/11/2022,12500.0,20700.0,0.0,68377.52312855645,0.0,37490.20912483382,0.0,911.9
16/11/2022,13350.0,22100.0,0.0,70484.80067449497,0.0,40065.49429589241,0.0,942.9
17/11/2022,14250.0,22950.0,0.0,72664.74296339687,0.0,41402.66159624977,0.0,969.26
18/11/2022,15100.0,22700.0,0.0,72737.40770636026,0.0,41749.33460004612,0.0,969.33
21/11/2022,14950.0,22250.0,0.0,74190.7025656282,0.0,40263.59315520462,0.0,960.65
22/11/2022,14800.0,21850.0,0.0,74844.68525229878,0.0,39817.87072175217,0.0,952.12
23/11/2022,13800.0,22000.0,0.0,76806.63331231049,0.0,40115.01901072047,0.0,946.0
24/11/2022,14350.0,22150.0,0.0,77024.62754120068,0.0,37341.63498034967,0.0,947.71
25/11/2022,15300.0,23000.0,0.0,77169.95702712747,0.0,37440.68441000577,0.0,971.46
28/11/2022,16350.0,24600.0,0.0,79204.56983010258,0.0,39768.34600692412,0.0,1005.69
29/11/2022,17400.0,25200.0,0.0,81965.83006271167,0.0,42393.15589281076,0.0,1032.16
30/11/2022,18400.0,25900.0,0.0,82474.48326345545,0.0,43680.79847834006,0.0,1048.42
01/12/2022,18200.0,27400.0,0.0,81384.51211900449,0.0,43631.27376351201,0.0,1036.28
02/12/2022,19450.0,28800.0,0.0,83564.45440790639,0.0,46553.23193836696,0.0,1080.01
05/12/2022,20000.0,29000.0,0.0,83491.789664943,0.0,47147.52851630356,0.0,1093.67
06/12/2022,18600.0,27050.0,0.0,80730.52943233392,0.0,43928.42205248032,0.0,1048.69
07/12/2022,18250.0,26400.0,0.0,78986.57560121239,0.0,44423.66920076081,0.0,1041.02
08/12/2022,18900.0,28200.0,0.0,80657.86468937053,0.0,45562.73764180596,0.0,1050.53
09/12/2022,19200.0,28250.0,0.0,81311.8473760411,0.0,45760.83650111816,0.0,1051.81
12/12/2022,18600.0,27200.0,0.0,81239.1826330777,0.0,45463.68821214986,0.0,1032.07
13/12/2022,19000.0,28800.0,0.0,81747.83583382147,0.0,45958.93536043036,0.0,1047.45
